filename,genre,mood,energy,valence,arousal,color_temperature,complexity,motion_speed,style,brightness,label_source
(A1) - All Automatic.mp3,unknown,energetic,1.0,,,0.512,0.719,0.681,lorenz,0.347,bootstrap
(A2) - Double Postpone.mp3,unknown,neutral,1.0,,,0.407,1.0,0.541,chladni,0.474,bootstrap
(B1) - Exomove.mp3,unknown,neutral,0.696,,,0.523,1.0,0.697,thomas,0.586,bootstrap
(BAP064b1) Palermo Disco Squad - Sicilian Nights '16.mp3,unknown,aggressive,1.0,,,0.309,0.709,0.718,lorenz,0.247,bootstrap
01 - Dark Matter.mp3,unknown,calm,0.309,,,0.5,0.714,0.503,chladni,0.371,bootstrap
01 - Digital Tsunami.mp3,unknown,neutral,1.0,,,0.418,0.818,0.557,chladni,0.486,bootstrap
01 - Endless Journey.mp3,unknown,neutral,1.0,,,0.374,0.69,0.788,lorenz,0.322,bootstrap
01 - Five Years.mp3,unknown,calm,0.159,,,0.59,0.559,0.463,dejong,0.525,bootstrap
01 - Plant43 - Halflight - 2013.mp3,unknown,energetic,1.0,,,0.706,1.0,0.788,thomas,0.615,bootstrap
01 - Secret State - CIA UFO Google Search.flac,unknown,energetic,1.0,,,0.502,0.673,0.788,lorenz,0.289,bootstrap
01 - War Pigs.mp3,unknown,energetic,1.0,,,0.571,1.0,0.681,thomas,0.441,bootstrap
01 - helena hauff - nothing is what i know.mp3,unknown,neutral,1.0,,,0.491,0.733,0.762,thomas,0.52,bootstrap
01 -juanita kiteless to dream of love.mp3,unknown,neutral,0.415,,,0.369,0.468,0.524,chladni,0.398,bootstrap
01 Apparatus.mp3,unknown,neutral,1.0,,,0.499,1.0,0.533,dejong,0.624,bootstrap
01 Der Klang der Familie.mp3,unknown,neutral,0.634,,,0.685,1.0,0.665,aizawa,0.855,bootstrap
01 EQD#010A.mp3,unknown,energetic,1.0,,,0.489,0.609,0.817,lorenz,0.256,bootstrap
01 Move.flac,unknown,neutral,0.609,,,0.492,0.685,0.426,chladni,0.401,bootstrap
01 Muschi Muschi.mp3,unknown,neutral,1.0,,,0.384,0.704,0.883,lorenz,0.301,bootstrap
01 Packed Like Sardines In A Crushed.mp3,unknown,neutral,0.66,,,0.398,0.688,0.428,chladni,0.252,bootstrap
01 Sudan Sedan.mp3,unknown,neutral,1.0,,,0.331,0.622,0.817,lorenz,0.244,bootstrap
01 Vainquer - Lyot (Maurizo Mix).mp3,unknown,calm,0.79,,,0.666,1.0,0.53,dejong,0.646,bootstrap
01-04. Pollon - Lost Souls.mp3,unknown,neutral,0.928,,,0.334,0.861,0.781,lorenz,0.259,bootstrap
01-Beach of Rain.mp3,unknown,energetic,0.899,,,0.429,0.569,0.766,lorenz,0.175,bootstrap
01-Shlomi Aber & Kashpitzky-By Myself_(www.electrobuzz.pro).mp3,unknown,energetic,1.0,,,0.395,0.558,0.848,lorenz,0.093,bootstrap
01-blanka-la_buena_suerte.mp3,unknown,neutral,1.0,,,0.229,0.624,0.541,chladni,0.19,bootstrap
01-deas-red_source_(original_mix).mp3,unknown,neutral,1.0,,,0.319,0.606,0.788,lorenz,0.236,bootstrap
01-december-an_accident_in_favor_of_human_life_(original_mix).mp3,unknown,energetic,1.0,,,0.632,0.887,0.848,thomas,0.472,bootstrap
01-dj_europarking_x_dollkraut--boompahpah-4ba1dca5.mp3,unknown,neutral,1.0,,,0.362,0.854,0.586,chladni,0.385,bootstrap
01-dj_savage-prosperidad-c58d4eb7.mp3,unknown,energetic,1.0,,,0.649,0.85,0.817,thomas,0.511,bootstrap
01-joshua_calleja--blonde_dimension-eb00930f.mp3,unknown,energetic,1.0,,,0.481,0.588,0.817,lorenz,0.243,bootstrap
01-keepsakes-dog_anonymous_fluid.mp3,unknown,neutral,1.0,,,0.35,0.613,0.848,lorenz,0.261,bootstrap
01-regent-oil_rigger.mp3,unknown,neutral,1.0,,,0.321,0.584,0.848,lorenz,0.214,bootstrap
01-taube-higher_purpose.mp3,unknown,neutral,1.0,,,0.413,0.673,0.848,lorenz,0.361,bootstrap
01-vainquer_-_lyot_(maurizo_mix).mp3,unknown,calm,0.78,,,0.67,1.0,0.525,dejong,0.654,bootstrap
01. Esoterik - Mayhem.mp3,unknown,energetic,1.0,,,0.457,0.616,0.848,lorenz,0.193,bootstrap
01. Leinad - From Skimask 2 Facemask (Calling Pablo Remix).flac,unknown,energetic,1.0,,,0.517,0.847,0.848,lorenz,0.289,bootstrap
01. Nasty Habits - Shadow Boxing (Om Unit Remix).mp3,unknown,calm,0.394,,,0.869,1.0,0.415,dejong,1.0,bootstrap
01_3_phase_feat._dr.motte_-_der_klang_der_familie-drum.mp3,unknown,neutral,0.284,,,0.563,1.0,0.49,dejong,0.715,bootstrap
01_Nasty (Feat. DJ Fuckoff).mp3,unknown,neutral,1.0,,,0.444,0.846,0.541,dejong,0.533,bootstrap
02 - Loner.mp3,unknown,neutral,1.0,,,0.486,1.0,0.699,thomas,0.537,bootstrap
02 - Soul Love.mp3,unknown,neutral,0.388,,,0.595,0.866,0.251,dejong,0.627,bootstrap
