filename,mood,energy,valence,arousal,color_temperature,complexity,motion_speed,style,brightness,label_source
(A1) - All Automatic.mp3,energetic,1.0,,,0.58,0.888,0.906,lorenz,0.347,clap
(A2) - Double Postpone.mp3,neutral,1.0,,,0.066,0.886,0.86,chladni,0.474,clap
(B1) - Exomove.mp3,neutral,0.696,,,0.358,0.92,0.938,thomas,0.586,clap
(BAP064b1) Palermo Disco Squad - Sicilian Nights '16.mp3,aggressive,1.0,,,0.828,0.945,0.894,lorenz,0.247,clap
01 - Dark Matter.mp3,calm,0.309,,,0.025,0.79,0.683,chladni,0.371,clap
01 - Digital Tsunami.mp3,neutral,1.0,,,0.009,0.627,0.264,chladni,0.486,clap
01 - Endless Journey.mp3,neutral,1.0,,,0.062,0.918,0.421,lorenz,0.322,clap
01 - Five Years.mp3,calm,0.159,,,0.1,0.014,0.085,dejong,0.525,clap
01 - Plant43 - Halflight - 2013.mp3,energetic,1.0,,,0.268,0.491,0.344,thomas,0.615,clap
01 - Secret State - CIA UFO Google Search.flac,energetic,1.0,,,0.407,0.858,0.71,lorenz,0.289,clap
01 - War Pigs.mp3,energetic,1.0,,,0.042,0.695,0.17,thomas,0.441,clap
01 - helena hauff - nothing is what i know.mp3,neutral,1.0,,,0.551,0.603,0.525,thomas,0.52,clap
01 -juanita kiteless to dream of love.mp3,neutral,0.415,,,0.112,0.425,0.473,chladni,0.398,clap
01 Apparatus.mp3,neutral,1.0,,,0.108,0.782,0.765,dejong,0.624,clap
01 Der Klang der Familie.mp3,neutral,0.634,,,0.263,0.605,0.45,aizawa,0.855,clap
01 EQD#010A.mp3,energetic,1.0,,,0.089,0.478,0.082,lorenz,0.256,clap
01 Move.flac,neutral,0.609,,,0.475,0.554,0.649,chladni,0.401,clap
01 Muschi Muschi.mp3,neutral,1.0,,,0.176,0.442,0.598,lorenz,0.301,clap
01 Packed Like Sardines In A Crushed.mp3,neutral,0.66,,,0.506,0.3,0.144,chladni,0.252,clap
01 Sudan Sedan.mp3,neutral,1.0,,,0.045,0.739,0.114,lorenz,0.244,clap
